home,score,away,year
Qatar ,3–0, Lebanon,2023
China ,0–0, Tajikistan,2023
Lebanon ,0–0, China,2023
Tajikistan ,0–1, Qatar,2023
Qatar ,1–0, China,2023
Tajikistan ,2–1, Lebanon,2023
Australia ,2–0, India,2023
Uzbekistan ,0–0, Syria,2023
Syria ,0–1, Australia,2023
India ,0–3, Uzbekistan,2023
Australia ,1–1, Uzbekistan,2023
Syria ,1–0, India,2023
United Arab Emirates ,3–1, Hong Kong,2023
Iran ,4–1, Palestine,2023
Palestine ,1–1, United Arab Emirates,2023
Hong Kong ,0–1, Iran,2023
Iran ,2–1, United Arab Emirates,2023
Hong Kong ,0–3, Palestine,2023
Japan ,4–2, Vietnam,2023
Indonesia ,1–3, Iraq,2023
Iraq ,2–1, Japan,2023
Vietnam ,0–1, Indonesia,2023
Japan ,3–1, Indonesia,2023
Iraq ,3–2, Vietnam,2023
South Korea ,3–1, Bahrain,2023
Malaysia ,0–4, Jordan,2023
Jordan ,2–2, South Korea,2023
Bahrain ,1–0, Malaysia,2023
South Korea ,3–3, Malaysia,2023
Jordan ,0–1, Bahrain,2023
Thailand ,2–0, Kyrgyzstan,2023
Saudi Arabia ,2–1, Oman,2023
Oman ,0–0, Thailand,2023
Kyrgyzstan ,0–2, Saudi Arabia,2023
Saudi Arabia ,0–0, Thailand,2023
Kyrgyzstan ,1–1, Oman,2023
Australia ,4–0, Indonesia,2023
Tajikistan ,1–1 (a.e.t.), United Arab Emirates,2023
Iraq ,2–3, Jordan,2023
Qatar ,2–1, Palestine,2023
Uzbekistan ,2–1, Thailand,2023
Saudi Arabia ,1–1 (a.e.t.), South Korea,2023
Bahrain ,1–3, Japan,2023
Iran ,1–1 (a.e.t.), Syria,2023
Tajikistan ,0–1, Jordan,2023
Australia ,1–2 (a.e.t.), South Korea,2023
Iran ,2–1, Japan,2023
Qatar ,1–1 (a.e.t.), Uzbekistan,2023
Jordan ,2–0, South Korea,2023
Iran ,2–3, Qatar,2023
Jordan ,1–3, Qatar,2023
